2015-04-27 06:54:46 status half-installed base-passwd:amd64 3.5.33
2015-04-27 06:54:46 status half-installed base-passwd:amd64 3.5.33
2015-04-27 06:54:46 status unpacked base-passwd:amd64 3.5.33
2015-04-27 06:54:46 status unpacked base-passwd:amd64 3.5.33
2015-04-27 06:54:46 install bash:amd64 <none> 4.3-6ubuntu1
2015-04-27 06:54:46 status half-installed bash:amd64 4.3-6ubuntu1
2015-04-27 06:54:46 status unpacked bash:amd64 4.3-6ubuntu1
2015-04-27 06:54:46 status unpacked bash:amd64 4.3-6ubuntu1
2015-04-27 06:54:46 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu20
2015-04-27 06:54:46 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu20
2015-04-27 06:54:47 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2015-04-27 06:54:47 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2015-04-27 06:54:47 install busybox-initramfs:amd64 <none> 1:1.21.0-1ubuntu1
2015-04-27 06:54:47 status half-installed busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2015-04-27 06:54:47 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2015-04-27 06:54:47 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2015-04-27 06:54:47 install coreutils:amd64 <none> 8.21-1ubuntu5
2015-04-27 06:54:47 status half-installed coreutils:amd64 8.21-1ubuntu5
2015-04-27 06:54:47 status unpacked coreutils:amd64 8.21-1ubuntu5
2015-04-27 06:54:47 status unpacked coreutils:amd64 8.21-1ubuntu5
2015-04-27 06:54:48 install cpio:amd64 <none> 2.11+dfsg-1ubuntu1
2015-04-27 06:54:48 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1
2015-04-27 06:54:48 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2015-04-27 06:54:48 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2015-04-27 06:54:48 install dash:amd64 <none> 0.5.7-4ubuntu1
